test_id,famous,gender,age,proof,exposure_duration,image_name,response_time,correctly_recognized,actually_is_famous
07,U,9,43,not sure,0.06770833333333331,Britney Spears.jpg,0,U,Y
07,U,5,25,not sure,0.06770833333333331,Elvis Presley.jpg,0,U,Y
07,U,1,45,not sure,0.25,Steve Jobs.jpg,0,U,Y
07,U,1,48,not sure,0.25,DavidBlookAlike.jpg,0,U,N
07,U,1,33,not sure,0.25,NotFamousM3.png,0,U,N
07,U,1,47,obama,0.25,Barack Obama.jpg,0,Y,Y
07,U,9,26,not sure,0.19791666666666666,Beyonce Knowles.jpg,0,U,Y
07,U,1,29,not sure,0.19791666666666666,NotFamousLookAlike.jpg,0,U,N
07,U,9,92,not sure,0.19791666666666666,Michelle Obama.jpg,0,U,Y
07,U,1,36,not sure,0.19791666666666666,maleNotFamouse.jpg,0,U,N
07,U,1,37,not sure,0.171875,NotFamousM1.png,0,U,N
07,U,7,42,not sure,0.171875,Lady Gaga.jpg,0,U,Y
07,U,1,65,not sure,0.171875,Albert Einstein.jpg,0,U,Y
07,U,1,47,not sure,0.171875,NotFamousM5.png,0,U,N
07,U,1,55,not sure,0.09375,Donald Trump.jpg,0,U,Y
07,U,9,35,not sure,0.09375,Michael Jackson.jpg,0,U,Y
07,U,1,45,not sure,0.09375,NotFamousM4.png,0,U,N
07,U,9,34,not sure,0.09375,KlookAlike.jpg,0,U,N
07,U,9,27,not sure,0.14583333333333331,NotFamousW1.png,0,U,N
07,U,9,29,not sure,0.14583333333333331,Angelina Jolie.jpg,0,U,Y
07,U,9,28,not sure,0.14583333333333331,Christina Aguilera.jpg,0,U,Y
07,U,9,29,not sure,0.14583333333333331,NotFamousW2.png,0,U,N
07,Y,1,3,not sure,0.22395833333333334,NotFamousM2.png,0.40599989891052246,U,N
07,N,1,43,blank,0.22395833333333334,Jim Carrey.jpg,0.4679999351501465,U,Y
07,U,1,33,not sure,0.22395833333333334,Justin Bieber.jpg,0,U,Y
07,N,9,4,blank,0.22395833333333334,StylistlookAlike.jpg,0.5770001411437988,U,N
07,N,9,43,blank,0.11979166666666666,NotFamousW4.png,0.7950000762939453,U,N
07,N,9,34,blank,0.11979166666666666,Miley Cyrus.jpg,1.4509999752044678,U,Y
07,N,9,43,blank,0.11979166666666666,Oprah Winfrey.jpg,0.7799999713897705,U,Y
07,N,9,27,blank,0.11979166666666666,NotFamousW3.png,0.5930001735687256,U,N
08,U,3,45,not sure,0.09375,NotFamousW5.png,0,U,N
08,U,7,60,no,0.09375,Michelle Obama.jpg,0,U,Y
08,U,7,15,ni,0.09375,NotSoFamouse.jpg,0,U,N
08,N,7,50,blank,0.09375,Miley Cyrus.jpg,1.7009999752044678,U,Y
08,Y,9,25,no,0.14583333333333331,StylistlookAlike.jpg,1.559999942779541,U,N
08,U,9,35,no,0.14583333333333331,NotFamousW2.png,0,U,N
08,U,1,70,einstein,0.14583333333333331,Albert Einstein.jpg,0,Y,Y
08,N,9,30,blank,0.14583333333333331,Angelina Jolie.jpg,1.8560001850128174,U,Y
08,U,5,45,no,0.11979166666666666,maleNotFamouse.jpg,0,U,N
08,U,1,50,no,0.11979166666666666,NotFamousM2.png,0,U,N
08,Y,9,45,jackson,0.11979166666666666,Michael Jackson.jpg,1.622999906539917,Y,Y
08,Y,7,40,no,0.11979166666666666,Justin Bieber.jpg,1.5600001811981201,U,Y
08,U,7,25,no,0.171875,Britney Spears.jpg,0,U,Y
08,N,7,35,blank,0.171875,DavidBlookAlike.jpg,1.6380000114440918,U,N
08,N,9,35,blank,0.171875,Elvis Presley.jpg,1.1549999713897705,U,Y
